EXTRA,DATA_TYPE,COLUMN_KEY,COLUMN_TYPE,IS_NULLABLE,TABLE_SCHEMA,PRIVILEGES,TABLE_NAME,NUMERIC_SCALE,TABLE_CATALOG,COLUMN_NAME,COLUMN_COMMENT,COLUMN_DEFAULT,ORDINAL_POSITION,COLLATION_NAME,NUMERIC_PRECISION,DATETIME_PRECISION,CHARACTER_SET_NAME,CHARACTER_OCTET_LENGTH,CHARACTER_MAXIMUM_LENGTH
<blank>,varchar,<blank>,varchar(32),NO,information_schema,select,COLLATION_CHARACTER_SET_APPLICABILITY,NULL,def,COLLATION_NAME,<blank>,<blank>,1,utf8_general_ci,NULL,NULL,utf8,96,32
<blank>,varchar,<blank>,varchar(32),NO,information_schema,select,COLLATION_CHARACTER_SET_APPLICABILITY,NULL,def,CHARACTER_SET_NAME,<blank>,<blank>,2,utf8_general_ci,NULL,NULL,utf8,96,32
<blank>,varchar,<blank>,varchar(512),NO,information_schema,select,COLUMNS,NULL,def,TABLE_CATALOG,<blank>,<blank>,1,utf8_general_ci,NULL,NULL,utf8,1536,512
<blank>,varchar,<blank>,varchar(64),NO,information_schema,select,COLUMNS,NULL,def,TABLE_SCHEMA,<blank>,<blank>,2,utf8_general_ci,NULL,NULL,utf8,192,64
<blank>,varchar,<blank>,varchar(64),NO,information_schema,select,COLUMNS,NULL,def,TABLE_NAME,<blank>,<blank>,3,utf8_general_ci,NULL,NULL,utf8,192,64
<blank>,varchar,<blank>,varchar(64),NO,information_schema,select,COLUMNS,NULL,def,COLUMN_NAME,<blank>,<blank>,4,utf8_general_ci,NULL,NULL,utf8,192,64
<blank>,bigint,<blank>,bigint(21) unsigned,NO,information_schema,select,COLUMNS,0,def,ORDINAL_POSITION,<blank>,0,5,NULL,20,NULL,NULL,NULL,NULL
<blank>,longtext,<blank>,longtext,YES,information_schema,select,COLUMNS,NULL,def,COLUMN_DEFAULT,<blank>,NULL,6,utf8_general_ci,NULL,NULL,utf8,4294967295,4294967295
<blank>,varchar,<blank>,varchar(3),NO,information_schema,select,COLUMNS,NULL,def,IS_NULLABLE,<blank>,<blank>,7,utf8_general_ci,NULL,NULL,utf8,9,3
<blank>,varchar,<blank>,varchar(64),NO,information_schema,select,COLUMNS,NULL,def,DATA_TYPE,<blank>,<blank>,8,utf8_general_ci,NULL,NULL,utf8,192,64
<blank>,bigint,<blank>,bigint(21) unsigned,YES,information_schema,select,COLUMNS,0,def,CHARACTER_MAXIMUM_LENGTH,<blank>,NULL,9,NULL,20,NULL,NULL,NULL,NULL
<blank>,bigint,<blank>,bigint(21) unsigned,YES,information_schema,select,COLUMNS,0,def,CHARACTER_OCTET_LENGTH,<blank>,NULL,10,NULL,20,NULL,NULL,NULL,NULL
<blank>,bigint,<blank>,bigint(21) unsigned,YES,information_schema,select,COLUMNS,0,def,NUMERIC_PRECISION,<blank>,NULL,11,NULL,20,NULL,NULL,NULL,NULL
<blank>,bigint,<blank>,bigint(21) unsigned,YES,information_schema,select,COLUMNS,0,def,NUMERIC_SCALE,<blank>,NULL,12,NULL,20,NULL,NULL,NULL,NULL
<blank>,bigint,<blank>,bigint(21) unsigned,YES,information_schema,select,COLUMNS,0,def,DATETIME_PRECISION,<blank>,NULL,13,NULL,20,NULL,NULL,NULL,NULL
<blank>,varchar,<blank>,varchar(32),YES,information_schema,select,COLUMNS,NULL,def,CHARACTER_SET_NAME,<blank>,NULL,14,utf8_general_ci,NULL,NULL,utf8,96,32
<blank>,varchar,<blank>,varchar(32),YES,information_schema,select,COLUMNS,NULL,def,COLLATION_NAME,<blank>,NULL,15,utf8_general_ci,NULL,NULL,utf8,96,32
<blank>,longtext,<blank>,longtext,NO,information_schema,select,COLUMNS,NULL,def,COLUMN_TYPE,<blank>,NULL,16,utf8_general_ci,NULL,NULL,utf8,4294967295,4294967295
<blank>,varchar,<blank>,varchar(3),NO,information_schema,select,COLUMNS,NULL,def,COLUMN_KEY,<blank>,<blank>,17,utf8_general_ci,NULL,NULL,utf8,9,3
<blank>,varchar,<blank>,varchar(30),NO,information_schema,select,COLUMNS,NULL,def,EXTRA,<blank>,<blank>,18,utf8_general_ci,NULL,NULL,utf8,90,30
<blank>,varchar,<blank>,varchar(80),NO,information_schema,select,COLUMNS,NULL,def,PRIVILEGES,<blank>,<blank>,19,utf8_general_ci,NULL,NULL,utf8,240,80
<blank>,varchar,<blank>,varchar(1024),NO,information_schema,select,COLUMNS,NULL,def,COLUMN_COMMENT,<blank>,<blank>,20,utf8_general_ci,NULL,NULL,utf8,3072,1024
<blank>,varchar,<blank>,varchar(81),NO,information_schema,select,COLUMN_PRIVILEGES,NULL,def,GRANTEE,<blank>,<blank>,1,utf8_general_ci,NULL,NULL,utf8,243,81
<blank>,varchar,<blank>,varchar(512),NO,information_schema,select,COLUMN_PRIVILEGES,NULL,def,TABLE_CATALOG,<blank>,<blank>,2,utf8_general_ci,NULL,NULL,utf8,1536,512
<blank>,varchar,<blank>,varchar(64),NO,information_schema,select,COLUMN_PRIVILEGES,NULL,def,TABLE_SCHEMA,<blank>,<blank>,3,utf8_general_ci,NULL,NULL,utf8,192,64
<blank>,varchar,<blank>,varchar(64),NO,information_schema,select,COLUMN_PRIVILEGES,NULL,def,TABLE_NAME,<blank>,<blank>,4,utf8_general_ci,NULL,NULL,utf8,192,64
<blank>,varchar,<blank>,varchar(64),NO,information_schema,select,COLUMN_PRIVILEGES,NULL,def,COLUMN_NAME,<blank>,<blank>,5,utf8_general_ci,NULL,NULL,utf8,192,64
<blank>,varchar,<blank>,varchar(64),NO,information_schema,select,COLUMN_PRIVILEGES,NULL,def,PRIVILEGE_TYPE,<blank>,<blank>,6,utf8_general_ci,NULL,NULL,utf8,192,64
<blank>,varchar,<blank>,varchar(3),NO,information_schema,select,COLUMN_PRIVILEGES,NULL,def,IS_GRANTABLE,<blank>,<blank>,7,utf8_general_ci,NULL,NULL,utf8,9,3
<blank>,varchar,<blank>,varchar(64),NO,information_schema,select,ENGINES,NULL,def,ENGINE,<blank>,<blank>,1,utf8_general_ci,NULL,NULL,utf8,192,64
<blank>,varchar,<blank>,varchar(8),NO,information_schema,select,ENGINES,NULL,def,SUPPORT,<blank>,<blank>,2,utf8_general_ci,NULL,NULL,utf8,24,8
<blank>,varchar,<blank>,varchar(80),NO,information_schema,select,ENGINES,NULL,def,COMMENT,<blank>,<blank>,3,utf8_general_ci,NULL,NULL,utf8,240,80
<blank>,varchar,<blank>,varchar(3),YES,information_schema,select,ENGINES,NULL,def,TRANSACTIONS,<blank>,NULL,4,utf8_general_ci,NULL,NULL,utf8,9,3
<blank>,varchar,<blank>,varchar(3),YES,information_schema,select,ENGINES,NULL,def,XA,<blank>,NULL,5,utf8_general_ci,NULL,NULL,utf8,9,3
<blank>,varchar,<blank>,varchar(3),YES,information_schema,select,ENGINES,NULL,def,SAVEPOINTS,<blank>,NULL,6,utf8_general_ci,NULL,NULL,utf8,9,3
<blank>,varchar,<blank>,varchar(64),NO,information_schema,select,EVENTS,NULL,def,EVENT_CATALOG,<blank>,<blank>,1,utf8_general_ci,NULL,NULL,utf8,192,64
<blank>,varchar,<blank>,varchar(64),NO,information_schema,select,EVENTS,NULL,def,EVENT_SCHEMA,<blank>,<blank>,2,utf8_general_ci,NULL,NULL,utf8,192,64
<blank>,varchar,<blank>,varchar(64),NO,information_schema,select,EVENTS,NULL,def,EVENT_NAME,<blank>,<blank>,3,utf8_general_ci,NULL,NULL,utf8,192,64
<blank>,varchar,<blank>,varchar(77),NO,information_schema,select,EVENTS,NULL,def,DEFINER,<blank>,<blank>,4,utf8_general_ci,NULL,NULL,utf8,231,77
<blank>,varchar,<blank>,varchar(64),NO,information_schema,select,EVENTS,NULL,def,TIME_ZONE,<blank>,<blank>,5,utf8_general_ci,NULL,NULL,utf8,192,64
<blank>,varchar,<blank>,varchar(8),NO,information_schema,select,EVENTS,NULL,def,EVENT_BODY,<blank>,<blank>,6,utf8_general_ci,NULL,NULL,utf8,24,8
<blank>,longtext,<blank>,longtext,NO,information_schema,select,EVENTS,NULL,def,EVENT_DEFINITION,<blank>,NULL,7,utf8_general_ci,NULL,NULL,utf8,4294967295,4294967295
<blank>,varchar,<blank>,varchar(9),NO,information_schema,select,EVENTS,NULL,def,EVENT_TYPE,<blank>,<blank>,8,utf8_general_ci,NULL,NULL,utf8,27,9
<blank>,datetime,<blank>,datetime,YES,information_schema,select,EVENTS,NULL,def,EXECUTE_AT,<blank>,NULL,9,NULL,NULL,0,NULL,NULL,NULL
<blank>,varchar,<blank>,varchar(256),YES,information_schema,select,EVENTS,NULL,def,INTERVAL_VALUE,<blank>,NULL,10,utf8_general_ci,NULL,NULL,utf8,768,256
<blank>,varchar,<blank>,varchar(18),YES,information_schema,select,EVENTS,NULL,def,INTERVAL_FIELD,<blank>,NULL,11,utf8_general_ci,NULL,NULL,utf8,54,18
<blank>,varchar,<blank>,varchar(8192),NO,information_schema,select,EVENTS,NULL,def,SQL_MODE,<blank>,<blank>,12,utf8_general_ci,NULL,NULL,utf8,24576,8192
<blank>,datetime,<blank>,datetime,YES,information_schema,select,EVENTS,NULL,def,STARTS,<blank>,NULL,13,NULL,NULL,0,NULL,NULL,NULL
<blank>,datetime,<blank>,datetime,YES,information_schema,select,EVENTS,NULL,def,ENDS,<blank>,NULL,14,NULL,NULL,0,NULL,NULL,NULL
<blank>,varchar,<blank>,varchar(18),NO,information_schema,select,EVENTS,NULL,def,STATUS,<blank>,<blank>,15,utf8_general_ci,NULL,NULL,utf8,54,18
<blank>,varchar,<blank>,varchar(12),NO,information_schema,select,EVENTS,NULL,def,ON_COMPLETION,<blank>,<blank>,16,utf8_general_ci,NULL,NULL,utf8,36,12
<blank>,datetime,<blank>,datetime,NO,information_schema,select,EVENTS,NULL,def,CREATED,<blank>,0000-00-00 00:00:00,17,NULL,NULL,0,NULL,NULL,NULL
<blank>,datetime,<blank>,datetime,NO,information_schema,select,EVENTS,NULL,def,LAST_ALTERED,<blank>,0000-00-00 00:00:00,18,NULL,NULL,0,NULL,NULL,NULL
<blank>,datetime,<blank>,datetime,YES,information_schema,select,EVENTS,NULL,def,LAST_EXECUTED,<blank>,NULL,19,NULL,NULL,0,NULL,NULL,NULL
<blank>,varchar,<blank>,varchar(64),NO,information_schema,select,EVENTS,NULL,def,EVENT_COMMENT,<blank>,<blank>,20,utf8_general_ci,NULL,NULL,utf8,192,64
<blank>,bigint,<blank>,bigint(10),NO,information_schema,select,EVENTS,0,def,ORIGINATOR,<blank>,0,21,NULL,19,NULL,NULL,NULL,NULL
<blank>,varchar,<blank>,varchar(32),NO,information_schema,select,EVENTS,NULL,def,CHARACTER_SET_CLIENT,<blank>,<blank>,22,utf8_general_ci,NULL,NULL,utf8,96,32
<blank>,varchar,<blank>,varchar(32),NO,information_schema,select,EVENTS,NULL,def,COLLATION_CONNECTION,<blank>,<blank>,23,utf8_general_ci,NULL,NULL,utf8,96,32
<blank>,varchar,<blank>,varchar(32),NO,information_schema,select,EVENTS,NULL,def,DATABASE_COLLATION,<blank>,<blank>,24,utf8_general_ci,NULL,NULL,utf8,96,32
<blank>,bigint,<blank>,bigint(4),NO,information_schema,select,FILES,0,def,FILE_ID,<blank>,0,1,NULL,19,NULL,NULL,NULL,NULL
<blank>,varchar,<blank>,varchar(64),YES,information_schema,select,FILES,NULL,def,FILE_NAME,<blank>,NULL,2,utf8_general_ci,NULL,NULL,utf8,192,64
<blank>,varchar,<blank>,varchar(20),NO,information_schema,select,FILES,NULL,def,FILE_TYPE,<blank>,<blank>,3,utf8_general_ci,NULL,NULL,utf8,60,20
<blank>,varchar,<blank>,varchar(64),YES,information_schema,select,FILES,NULL,def,TABLESPACE_NAME,<blank>,NULL,4,utf8_general_ci,NULL,NULL,utf8,192,64
<blank>,varchar,<blank>,varchar(64),NO,information_schema,select,FILES,NULL,def,TABLE_CATALOG,<blank>,<blank>,5,utf8_general_ci,NULL,NULL,utf8,192,64
<blank>,varchar,<blank>,varchar(64),YES,information_schema,select,FILES,NULL,def,TABLE_SCHEMA,<blank>,NULL,6,utf8_general_ci,NULL,NULL,utf8,192,64
<blank>,varchar,<blank>,varchar(64),YES,information_schema,select,FILES,NULL,def,TABLE_NAME,<blank>,NULL,7,utf8_general_ci,NULL,NULL,utf8,192,64
<blank>,varchar,<blank>,varchar(64),YES,information_schema,select,FILES,NULL,def,LOGFILE_GROUP_NAME,<blank>,NULL,8,utf8_general_ci,NULL,NULL,utf8,192,64
<blank>,bigint,<blank>,bigint(4),YES,information_schema,select,FILES,0,def,LOGFILE_GROUP_NUMBER,<blank>,NULL,9,NULL,19,NULL,NULL,NULL,NULL
<blank>,varchar,<blank>,varchar(64),NO,information_schema,select,FILES,NULL,def,ENGINE,<blank>,<blank>,10,utf8_general_ci,NULL,NULL,utf8,192,64
<blank>,varchar,<blank>,varchar(64),YES,information_schema,select,FILES,NULL,def,FULLTEXT_KEYS,<blank>,NULL,11,utf8_general_ci,NULL,NULL,utf8,192,64
<blank>,bigint,<blank>,bigint(4),YES,information_schema,select,FILES,0,def,DELETED_ROWS,<blank>,NULL,12,NULL,19,NULL,NULL,NULL,NULL
<blank>,bigint,<blank>,bigint(4),YES,information_schema,select,FILES,0,def,UPDATE_COUNT,<blank>,NULL,13,NULL,19,NULL,NULL,NULL,NULL
<blank>,bigint,<blank>,bigint(4),YES,information_schema,select,FILES,0,def,FREE_EXTENTS,<blank>,NULL,14,NULL,19,NULL,NULL,NULL,NULL
<blank>,bigint,<blank>,bigint(4),YES,information_schema,select,FILES,0,def,TOTAL_EXTENTS,<blank>,NULL,15,NULL,19,NULL,NULL,NULL,NULL
<blank>,bigint,<blank>,bigint(4),NO,information_schema,select,FILES,0,def,EXTENT_SIZE,<blank>,0,16,NULL,19,NULL,NULL,NULL,NULL
<blank>,bigint,<blank>,bigint(21) unsigned,YES,information_schema,select,FILES,0,def,INITIAL_SIZE,<blank>,NULL,17,NULL,20,NULL,NULL,NULL,NULL
<blank>,bigint,<blank>,bigint(21) unsigned,YES,information_schema,select,FILES,0,def,MAXIMUM_SIZE,<blank>,NULL,18,NULL,20,NULL,NULL,NULL,NULL
<blank>,bigint,<blank>,bigint(21) unsigned,YES,information_schema,select,FILES,0,def,AUTOEXTEND_SIZE,<blank>,NULL,19,NULL,20,NULL,NULL,NULL,NULL
<blank>,datetime,<blank>,datetime,YES,information_schema,select,FILES,NULL,def,CREATION_TIME,<blank>,NULL,20,NULL,NULL,0,NULL,NULL,NULL
<blank>,datetime,<blank>,datetime,YES,information_schema,select,FILES,NULL,def,LAST_UPDATE_TIME,<blank>,NULL,21,NULL,NULL,0,NULL,NULL,NULL
<blank>,datetime,<blank>,datetime,YES,information_schema,select,FILES,NULL,def,LAST_ACCESS_TIME,<blank>,NULL,22,NULL,NULL,0,NULL,NULL,NULL
<blank>,bigint,<blank>,bigint(4),YES,information_schema,select,FILES,0,def,RECOVER_TIME,<blank>,NULL,23,NULL,19,NULL,NULL,NULL,NULL
<blank>,bigint,<blank>,bigint(4),YES,information_schema,select,FILES,0,def,TRANSACTION_COUNTER,<blank>,NULL,24,NULL,19,NULL,NULL,NULL,NULL
<blank>,bigint,<blank>,bigint(21) unsigned,YES,information_schema,select,FILES,0,def,VERSION,<blank>,NULL,25,NULL,20,NULL,NULL,NULL,NULL
<blank>,varchar,<blank>,varchar(10),YES,information_schema,select,FILES,NULL,def,ROW_FORMAT,<blank>,NULL,26,utf8_general_ci,NULL,NULL,utf8,30,10
<blank>,bigint,<blank>,bigint(21) unsigned,YES,information_schema,select,FILES,0,def,TABLE_ROWS,<blank>,NULL,27,NULL,20,NULL,NULL,NULL,NULL
<blank>,bigint,<blank>,bigint(21) unsigned,YES,information_schema,select,FILES,0,def,AVG_ROW_LENGTH,<blank>,NULL,28,NULL,20,NULL,NULL,NULL,NULL
<blank>,bigint,<blank>,bigint(21) unsigned,YES,information_schema,select,FILES,0,def,DATA_LENGTH,<blank>,NULL,29,NULL,20,NULL,NULL,NULL,NULL
<blank>,bigint,<blank>,bigint(21) unsigned,YES,information_schema,select,FILES,0,def,MAX_DATA_LENGTH,<blank>,NULL,30,NULL,20,NULL,NULL,NULL,NULL
<blank>,bigint,<blank>,bigint(21) unsigned,YES,information_schema,select,FILES,0,def,INDEX_LENGTH,<blank>,NULL,31,NULL,20,NULL,NULL,NULL,NULL
<blank>,bigint,<blank>,bigint(21) unsigned,YES,information_schema,select,FILES,0,def,DATA_FREE,<blank>,NULL,32,NULL,20,NULL,NULL,NULL,NULL
<blank>,datetime,<blank>,datetime,YES,information_schema,select,FILES,NULL,def,CREATE_TIME,<blank>,NULL,33,NULL,NULL,0,NULL,NULL,NULL
<blank>,datetime,<blank>,datetime,YES,information_schema,select,FILES,NULL,def,UPDATE_TIME,<blank>,NULL,34,NULL,NULL,0,NULL,NULL,NULL
<blank>,datetime,<blank>,datetime,YES,information_schema,select,FILES,NULL,def,CHECK_TIME,<blank>,NULL,35,NULL,NULL,0,NULL,NULL,NULL
<blank>,bigint,<blank>,bigint(21) unsigned,YES,information_schema,select,FILES,0,def,CHECKSUM,<blank>,NULL,36,NULL,20,NULL,NULL,NULL,NULL
<blank>,varchar,<blank>,varchar(20),NO,information_schema,select,FILES,NULL,def,STATUS,<blank>,<blank>,37,utf8_general_ci,NULL,NULL,utf8,60,20
<blank>,varchar,<blank>,varchar(255),YES,information_schema,select,FILES,NULL,def,EXTRA,<blank>,NULL,38,utf8_general_ci,NULL,NULL,utf8,765,255
<blank>,varchar,<blank>,varchar(64),NO,information_schema,select,GLOBAL_STATUS,NULL,def,VARIABLE_NAME,<blank>,<blank>,1,utf8_general_ci,NULL,NULL,utf8,192,64
<blank>,varchar,<blank>,varchar(1024),YES,information_schema,select,GLOBAL_STATUS,NULL,def,VARIABLE_VALUE,<blank>,NULL,2,utf8_general_ci,NULL,NULL,utf8,3072,1024
<blank>,varchar,<blank>,varchar(64),NO,information_schema,select,GLOBAL_VARIABLES,NULL,def,VARIABLE_NAME,<blank>,<blank>,1,utf8_general_ci,NULL,NULL,utf8,192,64
<blank>,varchar,<blank>,varchar(1024),YES,information_schema,select,GLOBAL_VARIABLES,NULL,def,VARIABLE_VALUE,<blank>,NULL,2,utf8_general_ci,NULL,NULL,utf8,3072,1024
<blank>,varchar,<blank>,varchar(512),NO,information_schema,select,KEY_COLUMN_USAGE,NULL,def,CONSTRAINT_CATALOG,<blank>,<blank>,1,utf8_general_ci,NULL,NULL,utf8,1536,512
<blank>,varchar,<blank>,varchar(64),NO,information_schema,select,KEY_COLUMN_USAGE,NULL,def,CONSTRAINT_SCHEMA,<blank>,<blank>,2,utf8_general_ci,NULL,NULL,utf8,192,64
<blank>,varchar,<blank>,varchar(64),NO,information_schema,select,KEY_COLUMN_USAGE,NULL,def,CONSTRAINT_NAME,<blank>,<blank>,3,utf8_general_ci,NULL,NULL,utf8,192,64
<blank>,varchar,<blank>,varchar(512),NO,information_schema,select,KEY_COLUMN_USAGE,NULL,def,TABLE_CATALOG,<blank>,<blank>,4,utf8_general_ci,NULL,NULL,utf8,1536,512
<blank>,varchar,<blank>,varchar(64),NO,information_schema,select,KEY_COLUMN_USAGE,NULL,def,TABLE_SCHEMA,<blank>,<blank>,5,utf8_general_ci,NULL,NULL,utf8,192,64
<blank>,varchar,<blank>,varchar(64),NO,information_schema,select,KEY_COLUMN_USAGE,NULL,def,TABLE_NAME,<blank>,<blank>,6,utf8_general_ci,NULL,NULL,utf8,192,64
<blank>,varchar,<blank>,varchar(64),NO,information_schema,select,KEY_COLUMN_USAGE,NULL,def,COLUMN_NAME,<blank>,<blank>,7,utf8_general_ci,NULL,NULL,utf8,192,64
<blank>,bigint,<blank>,bigint(10),NO,information_schema,select,KEY_COLUMN_USAGE,0,def,ORDINAL_POSITION,<blank>,0,8,NULL,19,NULL,NULL,NULL,NULL
<blank>,bigint,<blank>,bigint(10),YES,information_schema,select,KEY_COLUMN_USAGE,0,def,POSITION_IN_UNIQUE_CONSTRAINT,<blank>,NULL,9,NULL,19,NULL,NULL,NULL,NULL
<blank>,varchar,<blank>,varchar(64),YES,information_schema,select,KEY_COLUMN_USAGE,NULL,def,REFERENCED_TABLE_SCHEMA,<blank>,NULL,10,utf8_general_ci,NULL,NULL,utf8,192,64
<blank>,varchar,<blank>,varchar(64),YES,information_schema,select,KEY_COLUMN_USAGE,NULL,def,REFERENCED_TABLE_NAME,<blank>,NULL,11,utf8_general_ci,NULL,NULL,utf8,192,64
<blank>,varchar,<blank>,varchar(64),YES,information_schema,select,KEY_COLUMN_USAGE,NULL,def,REFERENCED_COLUMN_NAME,<blank>,NULL,12,utf8_general_ci,NULL,NULL,utf8,192,64
<blank>,longtext,<blank>,longtext,NO,information_schema,select,OPTIMIZER_TRACE,NULL,def,QUERY,<blank>,NULL,1,utf8_general_ci,NULL,NULL,utf8,4294967295,4294967295
<blank>,longtext,<blank>,longtext,NO,information_schema,select,OPTIMIZER_TRACE,NULL,def,TRACE,<blank>,NULL,2,utf8_general_ci,NULL,NULL,utf8,4294967295,4294967295
<blank>,int,<blank>,int(20),NO,information_schema,select,OPTIMIZER_TRACE,0,def,MISSING_BYTES_BEYOND_MAX_MEM_SIZE,<blank>,0,3,NULL,10,NULL,NULL,NULL,NULL
<blank>,tinyint,<blank>,tinyint(1),NO,information_schema,select,OPTIMIZER_TRACE,0,def,INSUFFICIENT_PRIVILEGES,<blank>,0,4,NULL,3,NULL,NULL,NULL,NULL
<blank>,varchar,<blank>,varchar(512),NO,information_schema,select,PARAMETERS,NULL,def,SPECIFIC_CATALOG,<blank>,<blank>,1,utf8_general_ci,NULL,NULL,utf8,1536,512
<blank>,varchar,<blank>,varchar(64),NO,information_schema,select,PARAMETERS,NULL,def,SPECIFIC_SCHEMA,<blank>,<blank>,2,utf8_general_ci,NULL,NULL,utf8,192,64
<blank>,varchar,<blank>,varchar(64),NO,information_schema,select,PARAMETERS,NULL,def,SPECIFIC_NAME,<blank>,<blank>,3,utf8_general_ci,NULL,NULL,utf8,192,64
<blank>,int,<blank>,int(21),NO,information_schema,select,PARAMETERS,0,def,ORDINAL_POSITION,<blank>,0,4,NULL,10,NULL,NULL,NULL,NULL
<blank>,varchar,<blank>,varchar(5),YES,information_schema,select,PARAMETERS,NULL,def,PARAMETER_MODE,<blank>,NULL,5,utf8_general_ci,NULL,NULL,utf8,15,5
<blank>,varchar,<blank>,varchar(64),YES,information_schema,select,PARAMETERS,NULL,def,PARAMETER_NAME,<blank>,NULL,6,utf8_general_ci,NULL,NULL,utf8,192,64
<blank>,varchar,<blank>,varchar(64),NO,information_schema,select,PARAMETERS,NULL,def,DATA_TYPE,<blank>,<blank>,7,utf8_general_ci,NULL,NULL,utf8,192,64
<blank>,int,<blank>,int(21),YES,information_schema,select,PARAMETERS,0,def,CHARACTER_MAXIMUM_LENGTH,<blank>,NULL,8,NULL,10,NULL,NULL,NULL,NULL
<blank>,int,<blank>,int(21),YES,information_schema,select,PARAMETERS,0,def,CHARACTER_OCTET_LENGTH,<blank>,NULL,9,NULL,10,NULL,NULL,NULL,NULL
<blank>,bigint,<blank>,bigint(21) unsigned,YES,information_schema,select,PARAMETERS,0,def,NUMERIC_PRECISION,<blank>,NULL,10,NULL,20,NULL,NULL,NULL,NULL
<blank>,int,<blank>,int(21),YES,information_schema,select,PARAMETERS,0,def,NUMERIC_SCALE,<blank>,NULL,11,NULL,10,NULL,NULL,NULL,NULL
<blank>,bigint,<blank>,bigint(21) unsigned,YES,information_schema,select,PARAMETERS,0,def,DATETIME_PRECISION,<blank>,NULL,12,NULL,20,NULL,NULL,NULL,NULL
<blank>,varchar,<blank>,varchar(64),YES,information_schema,select,PARAMETERS,NULL,def,CHARACTER_SET_NAME,<blank>,NULL,13,utf8_general_ci,NULL,NULL,utf8,192,64
<blank>,varchar,<blank>,varchar(64),YES,information_schema,select,PARAMETERS,NULL,def,COLLATION_NAME,<blank>,NULL,14,utf8_general_ci,NULL,NULL,utf8,192,64
<blank>,longtext,<blank>,longtext,NO,information_schema,select,PARAMETERS,NULL,def,DTD_IDENTIFIER,<blank>,NULL,15,utf8_general_ci,NULL,NULL,utf8,4294967295,4294967295
<blank>,varchar,<blank>,varchar(9),NO,information_schema,select,PARAMETERS,NULL,def,ROUTINE_TYPE,<blank>,<blank>,16,utf8_general_ci,NULL,NULL,utf8,27,9
<blank>,varchar,<blank>,varchar(512),NO,information_schema,select,PARTITIONS,NULL,def,TABLE_CATALOG,<blank>,<blank>,1,utf8_general_ci,NULL,NULL,utf8,1536,512
<blank>,varchar,<blank>,varchar(64),NO,information_schema,select,PARTITIONS,NULL,def,TABLE_SCHEMA,<blank>,<blank>,2,utf8_general_ci,NULL,NULL,utf8,192,64
<blank>,varchar,<blank>,varchar(64),NO,information_schema,select,PARTITIONS,NULL,def,TABLE_NAME,<blank>,<blank>,3,utf8_general_ci,NULL,NULL,utf8,192,64
<blank>,varchar,<blank>,varchar(64),YES,information_schema,select,PARTITIONS,NULL,def,PARTITION_NAME,<blank>,NULL,4,utf8_general_ci,NULL,NULL,utf8,192,64
<blank>,varchar,<blank>,varchar(64),YES,information_schema,select,PARTITIONS,NULL,def,SUBPARTITION_NAME,<blank>,NULL,5,utf8_general_ci,NULL,NULL,utf8,192,64
<blank>,bigint,<blank>,bigint(21) unsigned,YES,information_schema,select,PARTITIONS,0,def,PARTITION_ORDINAL_POSITION,<blank>,NULL,6,NULL,20,NULL,NULL,NULL,NULL
